"","Sample","PC1","PC2","PC3","PC4","PC5","PC6","PC7","Population","Cohort","X1.x","X2.x","X1.y","X2.y"
"681","HG00140",-0.0168026593364257,-0.00524683908551991,-0.0090687605721785,0.000559769648918249,-0.0243176994002775,0.0261482985842276,-0.0158294815497247,"GBR","EUR",2.83327855105797,-2.64446178618725,2.83327855105797,-2.64446178618725
"682","HG00141",-0.0167041354953113,-0.00130645661051204,-0.00912774261707438,0.00409056416435092,-0.0211149234315884,0.000916066375864376,0.000762642329838359,"GBR","EUR",0.841632074540623,-2.74840180553382,0.841632074540623,-2.74840180553382
"683","HG00142",-0.0166432065305965,-0.00217232123286135,-0.00836955341849811,-0.00812358473955768,-0.0196710211994215,0.00364157462076705,-0.0253478444157073,"GBR","EUR",1.30750378943139,-2.6363794606856,1.30750378943139,-2.6363794606856
"684","HG00143",-0.0166828222119468,-0.00310788121097387,-0.00506915847848196,0.00540828517597426,-0.0261810942100467,0.0237432476419509,0.00183228876621588,"GBR","EUR",1.73987242720082,-1.69275108862166,1.73987242720082,-1.69275108862166
"685","HG00145",-0.0168602734797951,-0.00387494076540809,-0.0100529887664574,-0.000987102596320759,-0.0210107168498617,-0.023257649486325,-0.0042272660787257,"GBR","EUR",2.10311387741088,-2.76251788656175,2.10311387741088,-2.76251788656175
"686","HG00146",-0.0165991565783267,-0.003590217917403,-0.0177716046010472,-0.00128336257990764,-0.022174471070167,-0.0262713631095238,0.0284548972837113,"GBR","EUR",1.99673668207049,-5.10740511611173,1.99673668207049,-5.10740511611173
"687","HG00148",-0.0167931713470488,-0.00161660398363336,-0.00586666832304939,-0.00943140876279945,-0.0239120044549266,-0.0224922117228325,-0.0263447983284164,"GBR","EUR",1.05185233216765,-1.92783766998773,1.05185233216765,-1.92783766998773
"688","HG00149",-0.0166474809371283,-0.00158080756270379,-0.00620954359018235,0.00577181609535219,-0.0244028529182636,0.0238204393044229,0.00402076574241519,"GBR","EUR",0.990852000078655,-2.07115441776973,0.990852000078655,-2.07115441776973
"689","HG00150",-0.0167182399047717,-0.00171799063566188,-0.0132848447452968,0.00611395173733726,-0.0226266893106384,0.00280685611353901,0.00778886565642622,"GBR","EUR",1.01619409328576,-3.75727879074043,1.01619409328576,-3.75727879074043
"690","HG00151",-0.0167852297487918,-0.00447095289583764,-0.0108402336837991,0.00258436552627884,-0.0156575901867345,-0.0222121756170811,-0.0269401248858785,"GBR","EUR",2.46141900973147,-3.14455561156865,2.46141900973147,-3.14455561156865
"691","HG00154",-0.0169979217213904,-0.00223210715450041,-0.00836264716005303,0.00227206065457947,-0.0244741615240149,0.00267069789009415,-0.0160534090856844,"GBR","EUR",1.39317982604857,-2.4973578515413,1.39317982604857,-2.4973578515413
